trans_period,DevelopmentRegion,RegionalDistrict,no_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT,no_foreign,sum_FMV_foreign,mn_FMV_foreign,md_FMV_foreign,add_tax_paid
2017-04-01,Rest of province,Rest of province,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,62015363.83,674080.0416,238750,NA
2017-04-01,Thompson/Okanagan,CENTRAL OKANAGAN,532,520,14,2,3,4,288,166,1,42,7,4,2,1,1,2,2,291941786.7,548762.7569,445000,4784072.97,6515,NA,NA,NA,NA,NA
2017-04-01,Thompson/Okanagan,COLUMBIA SHUSWAP,153,134,18,2,2,1,92,14,0,5,3,3,0,0,15,1,0,48707309.61,318348.4288,280000,680754.43,3200,NA,NA,NA,NA,NA
2017-04-01,Thompson/Okanagan,NORTH OKANAGAN,205,194,20,2,5,1,114,40,0,12,4,4,0,0,3,4,0,91006504.47,443934.1681,350000,1404812.57,4660,NA,NA,NA,NA,NA
2017-04-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,236,221,17,1,4,1,130,63,0,5,4,3,1,0,6,5,0,102252520.5,433273.3918,315000,1573957.5,3900,NA,NA,NA,NA,NA
2017-04-01,Thompson/Okanagan,THOMPSON-NICOLA,302,285,21,0,6,1,185,61,0,11,5,2,0,3,3,8,1,108995601.8,360912.5887,325700,1553789.29,4220,NA,NA,NA,NA,NA
2017-04-01,Unknown,UNKNOWN,61,58,0,0,0,0,5,7,6,40,1,0,0,1,2,0,0,36561933.42,599375.9577,394500,698809,5890,NA,NA,NA,NA,NA
2017-04-01,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,146,130,20,1,1,1,95,7,3,2,2,1,0,1,14,0,0,44941653.48,307819.5444,247500,669168.66,2950,NA,NA,NA,NA,NA
2017-04-01,Vancouver Island/Coast,CAPITAL,816,797,28,5,4,13,334,260,9,144,12,1,8,3,3,3,1,507835264.2,622347.1374,462780.48,8511245.31,6774,32,19102407.28,596950.2275,476047.62,NA
2017-04-01,Vancouver Island/Coast,CENTRAL COAST-MOUNT WADDINGTON,27,23,7,0,0,1,13,2,0,0,3,2,0,1,0,0,1,7205084.06,266854.9652,209500,101377.51,2190,NA,NA,NA,NA,NA
2017-04-01,Vancouver Island/Coast,COMOX VALLEY,176,172,10,2,0,1,101,42,2,14,4,2,1,1,0,0,0,73076016.6,415204.6398,341750,1125111.02,4280,NA,NA,NA,NA,NA
2017-04-01,Vancouver Island/Coast,COWICHAN VALLEY,207,197,22,1,2,2,133,16,15,6,5,1,3,1,3,1,1,83548603.57,403616.4424,321000,1290447.28,4280,NA,NA,NA,NA,NA
2017-04-01,Vancouver Island/Coast,NANAIMO,383,372,20,1,3,3,228,81,10,26,5,4,0,1,6,0,0,158690997.7,414336.8085,384180,2305122.04,5100,12,5204500,433708.3333,458250,NA
2017-04-01,Vancouver Island/Coast,POWELL RIVER,45,42,5,0,0,0,33,3,0,1,0,0,0,0,1,1,1,12249047.55,272201.0567,264900,166055.99,3298,NA,NA,NA,NA,NA
2017-04-01,Vancouver Island/Coast,STRATHCONA,100,99,5,0,0,1,75,15,0,3,1,1,0,0,0,0,0,28901866.82,289018.6682,279500,365037.72,3205,NA,NA,NA,NA,NA
2017-05-01,Cariboo,CARIBOO,220,197,60,1,5,0,121,9,0,1,5,3,0,2,2,13,3,43404813.5,197294.6068,170000,558246.2,1700,NA,NA,NA,NA,NA
2017-05-01,Cariboo,FRASER-FORT GEORGE,278,265,30,2,3,2,207,19,0,2,3,2,0,1,4,3,3,69114523.56,248613.3941,234250,871726.64,2379,NA,NA,NA,NA,NA
2017-05-01,Kootenay,CENTRAL KOOTENAY,202,181,41,4,2,0,117,12,0,5,7,6,0,1,4,3,7,58218212.14,288208.971,230000,848407.13,2600,NA,NA,NA,NA,NA
2017-05-01,Kootenay,EAST KOOTENAY,263,243,21,0,2,4,171,41,0,4,6,5,0,1,11,0,3,82619390.34,314142.1686,287790.69,1189474.08,3601,NA,NA,NA,NA,NA
2017-05-01,Kootenay,KOOTENAY BOUNDARY,164,156,25,1,3,0,108,15,2,2,3,3,0,0,4,1,0,37147901,226511.5915,226750,462785.82,2440,NA,NA,NA,NA,NA
2017-05-01,Mainland/Southwest,FRASER VALLEY,1033,998,34,7,9,2,545,343,8,50,19,6,7,6,5,7,4,522140241.7,505460.0597,444852,8165918.31,6400,14,7694900,549635.7143,460000,NA
2017-05-01,Mainland/Southwest,METRO VANCOUVER,6875,6732,53,15,8,58,2106,3313,60,1119,117,36,68,13,13,5,8,6342517448,922547.9924,600000,135415488.1,9774,211,219414020.8,1039876.876,605000,15873934.34
2017-05-01,Mainland/Southwest,SQUAMISH-LILLOOET,271,244,5,4,0,2,89,101,31,12,3,1,1,1,22,1,1,191719248.8,707451.1027,475000,3512426.8,7500,NA,NA,NA,NA,NA
2017-05-01,Mainland/Southwest,SUNSHINE COAST,149,144,14,1,0,0,97,25,1,6,1,1,0,0,4,0,0,78212220.33,524914.2304,472152.38,1266345.38,7350,NA,NA,NA,NA,NA
2017-05-01,Nechako & North Coast,BULKLEY-NECHAKO,131,118,46,1,2,1,62,3,1,2,8,8,0,0,1,4,0,25961657.71,198180.5932,203100,322332.1,2000,NA,NA,NA,NA,NA
2017-05-01,Nechako & North Coast,KITIMAT-STIKINE,67,58,10,1,0,0,41,6,0,0,3,3,0,0,6,0,0,13948566,208187.5522,225000,180845.88,2500,NA,NA,NA,NA,NA
2017-05-01,Nechako & North Coast,NORTH COAST,40,38,4,0,0,0,32,1,1,0,2,2,0,0,0,0,0,8061550,201538.75,170000,107699.5,1700,NA,NA,NA,NA,NA
2017-05-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,157,125,23,2,1,0,88,6,1,4,12,12,0,0,1,16,3,41563321.86,264734.5341,250000,588791.97,3000,NA,NA,NA,NA,NA
2017-05-01,Rest of province,Rest of province,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,77148179.41,659386.1488,370000,NA
2017-05-01,Thompson/Okanagan,CENTRAL OKANAGAN,730,715,15,5,4,1,369,279,4,38,7,1,2,4,3,4,1,372058461.9,509669.1259,455000,5817736.27,6840,13,7653700,588746.1538,450000,NA
2017-05-01,Thompson/Okanagan,COLUMBIA SHUSWAP,227,205,34,8,3,0,125,29,0,6,3,3,0,0,11,5,3,72166022,317911.9912,298000,1026670.36,3660,NA,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,NORTH OKANAGAN,294,281,23,2,6,4,171,69,0,6,8,7,0,1,3,1,1,110983596.6,377495.2266,346000,1598354.77,4500,NA,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,379,351,26,3,4,3,197,93,1,24,7,3,3,1,11,9,1,144491279.9,381243.4825,320000,2145752.22,4206.33,NA,NA,NA,NA,NA
2017-05-01,Thompson/Okanagan,THOMPSON-NICOLA,455,434,34,8,5,3,298,67,0,19,12,6,1,5,5,1,3,157925513.5,347089.0407,320000,2166010.97,3950,NA,NA,NA,NA,NA
2017-05-01,Unknown,UNKNOWN,69,65,0,0,0,0,9,6,4,46,3,0,0,3,1,0,0,87196359.08,1263715.349,440000,1843273.59,7460,NA,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,259,239,27,2,1,3,180,15,6,5,9,4,2,3,8,1,2,97412052.24,376108.3098,290000,1497918.26,3700,NA,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,CAPITAL,1106,1066,35,5,4,12,520,398,9,83,33,8,20,5,2,4,1,665310030.4,601546.1396,514950,10864222.07,7840,53,42472731.36,801372.2898,780000,NA
2017-05-01,Vancouver Island/Coast,CENTRAL COAST-MOUNT WADDINGTON,36,36,7,1,0,1,21,5,0,1,0,0,0,0,0,0,0,4116900,114358.3333,81000,48479,810,NA,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,COMOX VALLEY,339,322,16,2,1,17,136,61,83,6,13,7,4,2,3,1,0,150569142.4,444156.7622,274900,2504200.12,3200,NA,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,COWICHAN VALLEY,291,283,23,5,0,5,206,33,0,11,6,4,0,2,0,1,1,122386013.7,420570.4936,349000,1851683.78,4720,NA,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,NANAIMO,553,538,21,4,1,11,318,120,32,31,11,2,5,4,2,1,1,224309165,405622.3599,365000,3294786.6,5000,28,18678207.43,667078.8368,626500,NA
2017-05-01,Vancouver Island/Coast,POWELL RIVER,68,63,3,0,1,1,55,3,0,0,3,3,0,0,0,0,2,17742547.88,260919.8218,258500,234782.48,3095,NA,NA,NA,NA,NA
2017-05-01,Vancouver Island/Coast,STRATHCONA,168,163,14,2,1,0,106,27,1,12,4,2,2,0,1,0,0,53162422.16,316442.989,300000,718530.81,3710,NA,NA,NA,NA,NA
2017-06-01,Cariboo,CARIBOO,294,267,83,1,8,1,163,8,0,3,11,10,0,1,6,8,2,66687266.19,226827.436,184000,903750.08,1840,NA,NA,NA,NA,NA
2017-06-01,Cariboo,FRASER-FORT GEORGE,370,359,60,2,1,4,254,28,2,8,6,5,0,1,4,1,0,107612213,290843.8189,260000,1432478.26,2900,NA,NA,NA,NA,NA
2017-06-01,Kootenay,CENTRAL KOOTENAY,219,209,49,2,2,1,141,11,0,3,2,2,0,0,4,4,0,64368358.27,293919.4442,272000,892025.2,3200,NA,NA,NA,NA,NA
2017-06-01,Kootenay,EAST KOOTENAY,280,265,23,1,1,0,177,58,0,5,4,2,0,2,9,1,1,82549745.23,294820.5187,258250,1172419.08,3100,NA,NA,NA,NA,NA
2017-06-01,Kootenay,KOOTENAY BOUNDARY,189,182,31,5,1,0,119,22,3,1,2,2,0,0,5,0,0,42315069.19,223889.255,215000,540909.62,2300,NA,NA,NA,NA,NA
2017-06-01,Mainland/Southwest,FRASER VALLEY,1285,1247,25,5,13,6,711,406,3,78,21,7,10,4,5,11,1,652975852.7,508152.4146,452000,9889560.35,6400,14,7038899,502778.5,476000,NA
2017-06-01,Mainland/Southwest,METRO VANCOUVER,7723,7529,49,22,12,50,2584,3571,33,1208,173,35,106,32,7,5,9,8016735707,1038033.887,686358.37,179922819.6,11780,239,461873160.8,1932523.685,830000,23984703.29
2017-06-01,Mainland/Southwest,SQUAMISH-LILLOOET,320,297,8,2,0,2,93,142,43,7,9,1,5,3,10,0,4,220150075.3,687968.9852,507000,4014162.86,8140,NA,NA,NA,NA,NA
2017-06-01,Mainland/Southwest,SUNSHINE COAST,156,148,21,2,0,1,99,22,2,1,3,0,1,2,3,0,2,107345128.1,688109.7956,475000,1946231.64,7500,NA,NA,NA,NA,NA
2017-06-01,Nechako & North Coast,BULKLEY-NECHAKO,118,103,31,3,1,0,68,0,0,0,9,9,0,0,3,3,0,28330833.78,240091.8117,205000,383252.52,2100,NA,NA,NA,NA,NA
2017-06-01,Nechako & North Coast,KITIMAT-STIKINE,50,45,17,0,0,1,22,4,0,1,5,4,0,1,0,0,0,8278283.46,165565.6692,128518.615,102606.66,1285.185,NA,NA,NA,NA,NA
2017-06-01,Nechako & North Coast,NORTH COAST,52,52,5,0,0,0,44,2,1,0,0,0,0,0,0,0,0,11498816.67,221131.0898,183350,151671.67,1833.5,NA,NA,NA,NA,NA
2017-06-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,202,138,22,2,4,2,100,4,0,4,13,11,0,2,1,46,4,60744369.46,300714.7003,235000,914247,2275,NA,NA,NA,NA,NA
2017-06-01,Rest of province,Rest of province,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,53953895.95,457236.4064,283500,NA
2017-06-01,Thompson/Okanagan,CENTRAL OKANAGAN,848,838,22,3,8,3,468,281,5,48,6,1,3,2,2,2,0,490946560.5,578946.4157,514074.385,7910089.61,7650,15,6816588,454439.2,365000,NA
2017-06-01,Thompson/Okanagan,COLUMBIA SHUSWAP,326,315,49,3,2,1,210,41,0,9,2,2,0,0,6,3,0,108926072.8,334129.0576,306650,1531236.03,3945,NA,NA,NA,NA,NA
2017-06-01,Thompson/Okanagan,NORTH OKANAGAN,388,367,69,6,8,3,220,56,0,5,15,10,3,2,3,1,2,165829721.3,427396.1889,360300,2602112.71,4970,NA,NA,NA,NA,NA
2017-06-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,440,411,35,3,10,3,230,104,2,24,16,14,0,2,7,6,0,183483541.3,417008.0483,350000,2806530.9,4710,NA,NA,NA,NA,NA
2017-06-01,Thompson/Okanagan,THOMPSON-NICOLA,537,498,48,11,2,3,329,73,0,32,23,18,2,3,9,6,1,189124893.7,352187.8839,330000,2718085.96,4398,NA,NA,NA,NA,NA
2017-06-01,Unknown,UNKNOWN,57,48,0,0,0,0,10,4,3,31,3,0,0,3,2,1,3,22674742.81,397802.5054,317000,512880.29,4380,NA,NA,NA,NA,NA
2017-06-01,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,250,231,33,2,1,1,170,18,3,3,7,2,0,5,12,0,0,92515828.98,370063.3159,308500,1385678.52,4000,NA,NA,NA,NA,NA
2017-06-01,Vancouver Island/Coast,CAPITAL,1356,1301,45,6,8,21,664,427,16,114,49,14,32,3,3,1,2,884026764.4,651937.1419,540000,15150644.63,8400,53,46898783.14,884882.7008,728000,NA
2017-06-01,Vancouver Island/Coast,CENTRAL COAST-MOUNT WADDINGTON,57,38,9,0,0,0,27,2,0,0,0,0,0,0,18,0,1,8422416.67,147761.696,86900,106024.17,869,NA,NA,NA,NA,NA
2017-06-01,Vancouver Island/Coast,COMOX VALLEY,298,289,23,2,2,0,180,69,2,11,8,4,3,1,0,0,1,128449590.8,431038.8954,373000,1944902.48,5200,NA,NA,NA,NA,NA
2017-06-01,Vancouver Island/Coast,COWICHAN VALLEY,338,332,30,2,4,0,237,43,0,16,3,3,0,0,1,0,2,134189353.7,397009.9223,379100,2019084.35,5355,NA,NA,NA,NA,NA
2017-06-01,Vancouver Island/Coast,NANAIMO,551,535,22,5,0,4,349,113,16,26,9,2,4,3,2,1,4,235069962.5,426624.2513,414900,3478563.54,5920,27,15795334.28,585012.3807,570000,NA
2017-06-01,Vancouver Island/Coast,POWELL RIVER,76,72,11,0,0,1,53,6,0,1,4,4,0,0,0,0,0,20627350,271412.5,248500,264112.5,2770,NA,NA,NA,NA,NA
2017-06-01,Vancouver Island/Coast,STRATHCONA,207,201,10,1,1,2,138,37,1,11,3,3,0,0,3,0,0,63927518.06,308828.5897,293000,821501.73,3440,NA,NA,NA,NA,NA
2017-07-01,Cariboo,CARIBOO,165,156,54,5,2,0,90,3,0,2,4,3,0,1,4,1,0,37488976.66,227205.9192,185000,515696.47,1850,NA,NA,NA,NA,NA
2017-07-01,Cariboo,FRASER-FORT GEORGE,288,274,32,1,1,1,213,20,2,4,10,9,0,1,2,0,2,81211508.8,281984.4056,274500,1045425.96,3023.37,NA,NA,NA,NA,NA
2017-07-01,Kootenay,CENTRAL KOOTENAY,185,173,29,3,0,1,127,8,0,5,3,1,0,2,3,5,1,57763813.57,312236.8301,235000,903056.57,2700,NA,NA,NA,NA,NA
2017-07-01,Kootenay,EAST KOOTENAY,249,234,24,2,1,1,154,47,4,1,8,6,0,2,5,1,1,73155363.76,293796.6416,260000,1034978.16,3200,NA,NA,NA,NA,NA
2017-07-01,Kootenay,KOOTENAY BOUNDARY,160,150,28,0,1,0,102,17,0,2,4,3,0,1,5,1,0,38267371.68,239171.073,223700,494273.79,2434,NA,NA,NA,NA,NA
2017-07-01,Mainland/Southwest,FRASER VALLEY,1201,1158,29,9,16,1,612,384,10,97,25,8,13,4,9,8,1,673718592,560964.6894,485000,10952036.17,7000,17,9889200,581717.6471,555500,NA
2017-07-01,Mainland/Southwest,METRO VANCOUVER,7381,7191,54,16,17,78,2417,3305,36,1268,150,41,92,17,1,6,33,7335517675,993837.9182,695000,159781860.6,11900,249,304866017.3,1224361.515,730000,21571569.8
2017-07-01,Mainland/Southwest,SQUAMISH-LILLOOET,244,227,8,1,1,0,87,97,21,12,3,0,2,1,10,2,2,202128855.7,828396.9497,605500,3776592.05,9740,NA,NA,NA,NA,NA
2017-07-01,Mainland/Southwest,SUNSHINE COAST,134,127,12,0,0,1,97,15,0,2,6,4,1,1,1,0,0,82846263.61,618255.6986,513095.24,1376162.69,8040,NA,NA,NA,NA,NA
2017-07-01,Nechako & North Coast,BULKLEY-NECHAKO,121,109,38,1,4,1,60,3,0,2,4,3,1,0,3,5,0,25895803.53,214014.9052,180000,344139.47,1800,NA,NA,NA,NA,NA
2017-07-01,Nechako & North Coast,KITIMAT-STIKINE,76,73,7,0,2,0,60,0,0,4,2,2,0,0,1,0,0,18077997.78,237868.3918,255750,221994.71,2850,NA,NA,NA,NA,NA
2017-07-01,Nechako & North Coast,NORTH COAST,44,38,2,0,0,0,34,0,0,2,4,4,0,0,0,0,2,8985586.98,204217.8859,154700,118564.73,1547,NA,NA,NA,NA,NA
2017-07-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,168,130,25,5,3,0,93,1,2,1,6,4,0,2,3,27,2,43031594.11,256140.4411,243500,569578.58,2490,NA,NA,NA,NA,NA
2017-07-01,Rest of province,Rest of province,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,61443803.09,602390.2264,340000,NA
2017-07-01,Thompson/Okanagan,CENTRAL OKANAGAN,739,720,19,7,4,2,392,223,3,70,13,8,2,3,1,2,3,425898187.1,576316.8973,496952.38,6914126.41,7642,10,6521597,652159.7,634500,NA
2017-07-01,Thompson/Okanagan,COLUMBIA SHUSWAP,255,239,31,3,1,1,164,24,0,15,4,2,0,2,7,4,1,84362508.77,330833.3677,310000,1184259.27,3800,NA,NA,NA,NA,NA
2017-07-01,Thompson/Okanagan,NORTH OKANAGAN,341,327,25,4,9,1,210,73,0,5,6,6,0,0,1,7,0,161197248.5,472719.2038,389900,2581249.58,5700,NA,NA,NA,NA,NA
2017-07-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,338,320,34,2,5,2,179,82,3,13,6,3,1,2,5,7,0,143347118.9,424103.9019,386000,2178555.57,5500,NA,NA,NA,NA,NA
2017-07-01,Thompson/Okanagan,THOMPSON-NICOLA,470,450,26,8,9,1,301,74,0,31,6,4,1,1,3,8,3,171414028.4,364710.6988,350000,2455603.12,4790,NA,NA,NA,NA,NA
2017-07-01,Unknown,UNKNOWN,149,140,0,0,0,0,3,8,5,124,5,0,3,2,1,0,3,82449755.11,553354.0611,400000,1354839.15,6000,NA,NA,NA,NA,NA
2017-07-01,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,229,219,37,3,2,0,161,13,1,2,4,2,0,2,5,1,0,91953948.78,401545.6279,315000,1436969.35,4270,NA,NA,NA,NA,NA
2017-07-01,Vancouver Island/Coast,CAPITAL,1075,1047,38,3,3,9,570,360,14,50,23,13,4,6,3,1,1,717392155.4,667341.5399,560000,12273284.45,9000,42,34582185.89,823385.3783,707450,NA
2017-07-01,Vancouver Island/Coast,CENTRAL COAST-MOUNT WADDINGTON,28,25,1,2,0,0,16,6,0,0,2,2,0,0,1,0,0,7445924.67,265925.8811,154800,120713.25,1548,NA,NA,NA,NA,NA
2017-07-01,Vancouver Island/Coast,COMOX VALLEY,324,313,25,3,1,0,201,67,2,14,3,2,1,0,4,2,2,138213946.7,426586.2552,398950,2068811.62,5655,NA,NA,NA,NA,NA
2017-07-01,Vancouver Island/Coast,COWICHAN VALLEY,301,294,33,5,6,1,207,34,0,8,3,3,0,0,1,3,0,132843719,441341.2591,409000,1994821.8,5684,NA,NA,NA,NA,NA
2017-07-01,Vancouver Island/Coast,NANAIMO,497,484,18,5,4,1,333,95,4,24,13,11,1,1,0,0,0,238457111.3,479792.9805,437000,3626011.12,6400,29,19975791.8,688820.4069,614500,NA
2017-07-01,Vancouver Island/Coast,POWELL RIVER,62,61,3,0,0,0,51,5,0,2,0,0,0,0,1,0,0,19915680.23,321220.6489,311000,269334.1,4100,NA,NA,NA,NA,NA
2017-07-01,Vancouver Island/Coast,STRATHCONA,166,163,12,3,0,0,120,24,0,4,2,2,0,0,1,0,0,55739144.81,335777.9808,326000,764899.08,4200,NA,NA,NA,NA,NA
2017-08-01,Cariboo,CARIBOO,212,196,62,2,2,0,119,6,0,5,2,1,0,1,7,5,2,49846581.45,235125.3842,197750,678105.15,1950,NA,NA,NA,NA,NA
2017-08-01,Cariboo,FRASER-FORT GEORGE,298,291,48,1,4,0,212,21,0,5,4,4,0,0,2,1,0,81119130.62,272211.8477,274000,1038677.63,3135,NA,NA,NA,NA,NA
2017-08-01,Kootenay,CENTRAL KOOTENAY,233,219,50,2,2,0,144,12,0,9,5,3,0,2,4,3,2,71601132.75,307300.9989,279000,1006230.76,3500,NA,NA,NA,NA,NA
2017-08-01,Kootenay,EAST KOOTENAY,324,300,34,6,1,2,192,59,0,6,19,13,0,6,4,1,0,96924521.12,299149.7565,265523.5,1379275.64,3245,NA,NA,NA,NA,NA
2017-08-01,Kootenay,KOOTENAY BOUNDARY,179,164,27,0,4,2,99,29,0,3,7,7,0,0,7,0,1,41603855.62,232423.7744,215000,541223.35,2300,NA,NA,NA,NA,NA
2017-08-01,Mainland/Southwest,FRASER VALLEY,1219,1192,50,7,26,7,627,398,4,73,16,5,9,2,5,4,2,722106251.4,592375.924,500000,12191195.31,7400,13,9283239.4,714095.3385,575000,NA
2017-08-01,Mainland/Southwest,METRO VANCOUVER,7837,7706,62,13,13,58,2464,3429,79,1588,100,31,49,20,12,8,11,7372635624,940747.1768,676900,156817719.6,11600,265,279539056.9,1054864.366,630900,21736517.64
2017-08-01,Mainland/Southwest,SQUAMISH-LILLOOET,231,218,8,1,2,0,87,81,26,13,2,0,2,0,7,0,4,184346285.9,798035.8698,610000,3393153.08,10150,NA,NA,NA,NA,NA
2017-08-01,Mainland/Southwest,SUNSHINE COAST,143,138,17,0,0,0,104,17,0,0,0,0,0,0,4,0,1,80985944.71,566335.2777,514000,1346754.41,8280,NA,NA,NA,NA,NA
2017-08-01,Nechako & North Coast,BULKLEY-NECHAKO,113,94,27,2,1,0,59,4,0,1,10,4,1,5,3,4,2,25354192.93,224373.3888,220000,343152.37,2400,NA,NA,NA,NA,NA
2017-08-01,Nechako & North Coast,KITIMAT-STIKINE,73,70,5,1,0,0,61,2,0,1,2,1,1,0,1,0,0,16679234.07,228482.6585,215000,214623.39,2210.6,NA,NA,NA,NA,NA
2017-08-01,Nechako & North Coast,NORTH COAST,43,42,1,1,0,0,39,1,0,0,0,0,0,0,0,0,1,9976700,232016.2791,247000,132278.7,2940,NA,NA,NA,NA,NA
2017-08-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,149,123,26,1,4,0,81,5,5,1,5,5,0,0,1,18,2,40334885.18,270703.9274,254000,543718.33,2600,NA,NA,NA,NA,NA
2017-08-01,Rest of province,Rest of province,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,53468786.66,534687.8666,273450,NA
2017-08-01,Thompson/Okanagan,CENTRAL OKANAGAN,911,898,24,2,7,2,464,308,2,89,7,5,2,0,1,2,3,554835232,609039.7717,480000,9541603.1,7100,28,22079288,788546,564100,NA
2017-08-01,Thompson/Okanagan,COLUMBIA SHUSWAP,314,285,39,6,6,1,196,30,0,7,8,8,0,0,18,1,2,99892097.12,318127.6978,293500,1406608.77,3590,NA,NA,NA,NA,NA
2017-08-01,Thompson/Okanagan,NORTH OKANAGAN,339,327,24,1,6,1,204,74,0,17,3,2,1,0,5,1,3,146507104.7,432174.3502,379500,2168334.71,5280,NA,NA,NA,NA,NA
2017-08-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,439,411,30,6,11,7,231,90,0,36,12,7,1,4,9,5,2,192184980.7,437778.9994,356000,2993527.24,4980,NA,NA,NA,NA,NA
2017-08-01,Thompson/Okanagan,THOMPSON-NICOLA,476,451,17,5,8,4,316,84,2,15,8,8,0,0,6,8,3,191593034.4,402506.3747,334500,2920965.27,4260,NA,NA,NA,NA,NA
2017-08-01,Unknown,UNKNOWN,68,65,4,0,0,0,9,7,3,42,0,0,0,0,1,1,1,34583380.04,508579.1182,312250,588667.5,3955,NA,NA,NA,NA,NA
2017-08-01,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,229,219,30,3,0,3,172,7,1,3,6,3,0,3,4,0,0,96419013.07,421043.7252,337000,1498350.72,4400,NA,NA,NA,NA,NA
2017-08-01,Vancouver Island/Coast,CAPITAL,1252,1227,52,5,3,11,651,417,8,80,22,8,8,6,1,2,0,861259534.3,687906.9763,581092.11,14734116.82,9145.475,49,39324976.09,802550.5324,738800,NA
2017-08-01,Vancouver Island/Coast,CENTRAL COAST-MOUNT WADDINGTON,39,37,10,0,0,0,22,5,0,0,1,1,0,0,1,0,0,6535000,167564.1026,148000,76156,1480,NA,NA,NA,NA,NA
2017-08-01,Vancouver Island/Coast,COMOX VALLEY,310,303,12,0,2,1,187,52,3,46,5,4,0,1,1,1,0,132025414.2,425888.4328,398750,1799083.91,5138,NA,NA,NA,NA,NA
2017-08-01,Vancouver Island/Coast,COWICHAN VALLEY,297,295,23,0,3,1,224,34,0,10,1,0,0,1,1,0,0,134398718.8,452520.9386,408000,2085340.94,5900,NA,NA,NA,NA,NA
2017-08-01,Vancouver Island/Coast,NANAIMO,582,569,20,5,3,2,366,132,15,26,7,5,0,2,3,2,1,250270607.9,430018.2267,402500,3637588.56,5600,19,11606766.66,610882.4558,668000,NA
2017-08-01,Vancouver Island/Coast,POWELL RIVER,66,59,2,0,1,0,47,4,0,5,5,4,0,1,1,0,1,18223311.63,276110.7823,269000,231415.77,3155,NA,NA,NA,NA,NA
2017-08-01,Vancouver Island/Coast,STRATHCONA,180,178,11,2,0,1,141,22,0,1,2,1,1,0,0,0,0,61871299.11,343729.4395,345125,820523.55,4525,NA,NA,NA,NA,NA
2017-09-01,Cariboo,CARIBOO,210,198,69,1,5,1,115,7,0,0,4,3,0,1,2,5,1,51262871.67,244108.9127,215000,703856.48,2300,NA,NA,NA,NA,NA
2017-09-01,Cariboo,FRASER-FORT GEORGE,316,297,32,2,2,2,190,20,0,49,8,5,0,3,1,10,0,81925529.91,259258.006,250000,985814.49,2615,NA,NA,NA,NA,NA
2017-09-01,Kootenay,CENTRAL KOOTENAY,209,198,36,3,4,0,127,13,0,15,2,2,0,0,7,2,0,57248136.35,273914.528,240000,777387.74,2400,NA,NA,NA,NA,NA
2017-09-01,Kootenay,EAST KOOTENAY,241,228,25,4,3,1,137,55,0,3,6,5,0,1,6,1,0,74206934.85,307912.5927,250000,1045969.82,2900,NA,NA,NA,NA,NA
2017-09-01,Kootenay,KOOTENAY BOUNDARY,189,178,20,4,5,0,118,29,1,1,3,3,0,0,7,0,1,46068776.43,243750.1398,199900,620623.02,1985,NA,NA,NA,NA,NA
2017-09-01,Mainland/Southwest,FRASER VALLEY,974,945,31,9,24,0,494,316,7,64,23,11,3,9,4,2,0,578944071,594398.4302,485000,9894504.81,7056,15,9540800,636053.3333,555000,NA
