trans_period,DevelopmentRegion,RegionalDistrict,Municipality,no_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT,no_foreign,sum_FMV_foreign,mn_FMV_foreign,md_FMV_foreign,add_tax_paid
2017-03-01,Mainland/Southwest,METRO VANCOUVER,MAPLE RIDGE RURAL,11,9,3,0,3,0,3,0,0,0,0,0,0,0,2,0,0,4923265.49,447569.59,283000,84935.25,3660,0,NA,NA,NA,NA
2017-03-01,Mainland/Southwest,METRO VANCOUVER,MUSQUEAM INDIAN BAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA
2017-03-01,Mainland/Southwest,METRO VANCOUVER,TOWNSHIP OF LANGLEY,305,299,14,3,2,1,126,121,2,30,2,0,2,0,0,4,0,253186084.7,830118.3104,579000,4433809.35,8030,5,5566000,1113200,435000,116253
2017-03-01,Mainland/Southwest,METRO VANCOUVER,UNIVERSITY ENDOWMENT LANDS,6,6,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,8171800,1361966.667,694500,NA,NA,0,NA,NA,NA,NA
2017-03-01,Mainland/Southwest,METRO VANCOUVER,VILLAGE OF ANMORE,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2820000,1410000,1410000,NA,NA,0,NA,NA,NA,NA
2017-03-01,Mainland/Southwest,METRO VANCOUVER,VILLAGE OF BELCARRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA
2017-03-01,Mainland/Southwest,METRO VANCOUVER,VILLAGE OF LIONS BAY,6,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8469700,1411616.667,1364850,NA,NA,0,NA,NA,NA,NA
2017-03-01,Mainland/Southwest,SQUAMISH-LILLOOET,DISTRICT OF LILLOOET,11,10,0,0,1,0,9,0,0,0,1,1,0,0,0,0,0,2751000,250090.9091,279000,NA,NA,0,NA,NA,NA,NA
2017-03-01,Mainland/Southwest,SQUAMISH-LILLOOET,DISTRICT OF SQUAMISH,65,59,1,0,0,0,28,23,0,7,6,2,0,4,0,0,0,44076546.03,678100.7082,575000,736757.23,9500,NA,NA,NA,NA,NA
2017-03-01,Mainland/Southwest,SQUAMISH-LILLOOET,DISTRICT OF WHISTLER,99,79,0,0,0,5,9,35,23,7,1,0,1,0,19,0,0,80880665.49,816976.4191,467500,1604005.98,7350,NA,NA,NA,NA,NA
2017-03-01,Mainland/Southwest,SQUAMISH-LILLOOET,LILLOOET RURAL,4,3,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,891962,222990.5,149950,NA,NA,0,NA,NA,NA,NA
2017-03-01,Mainland/Southwest,SQUAMISH-LILLOOET,SQUAMISH RURAL,11,10,3,0,0,0,6,1,0,0,0,0,0,0,0,1,0,6507050,591550,550000,NA,NA,0,NA,NA,NA,NA
2017-03-01,Mainland/Southwest,SQUAMISH-LILLOOET,VILLAGE OF PEMBERTON,14,14,1,1,0,0,4,8,0,0,0,0,0,0,0,0,0,6685500,477535.7143,425000,105860,6500,0,NA,NA,NA,NA
2017-03-01,Mainland/Southwest,SUNSHINE COAST,DISTRICT OF SECHELT,47,47,1,2,0,0,32,11,0,1,0,0,0,0,0,0,0,23048619.04,490396.1498,414200,338245,5926,0,NA,NA,NA,NA
2017-03-01,Mainland/Southwest,SUNSHINE COAST,DISTRICT OF SECHELT INDIAN GOV'T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-03-01,Mainland/Southwest,SUNSHINE COAST,SECHELT RURAL,66,59,9,0,0,0,23,0,0,27,1,0,0,1,6,0,0,25256095.01,382668.1062,238761,398803.73,2775.22,0,NA,NA,NA,NA
2017-03-01,Mainland/Southwest,SUNSHINE COAST,TOWN OF GIBSONS,27,27,0,1,0,0,9,15,0,2,0,0,0,0,0,0,0,11740200,434822.2222,360000,173502,5200,NA,NA,NA,NA,NA
2017-03-01,Nechako & North Coast,BULKLEY-NECHAKO,DISTRICT OF FORT ST. JAMES,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,847000,211750,212500,NA,NA,0,NA,NA,NA,NA
2017-03-01,Nechako & North Coast,BULKLEY-NECHAKO,DISTRICT OF HOUSTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA
2017-03-01,Nechako & North Coast,BULKLEY-NECHAKO,DISTRICT OF VANDERHOOF,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,684000,136800,170000,6910,1700,0,NA,NA,NA,NA
2017-03-01,Nechako & North Coast,BULKLEY-NECHAKO,SMITHERS RURAL,19,17,13,0,0,0,4,0,0,0,0,0,0,0,1,1,0,3725610,196084.7368,160000,49256.7,1600,0,NA,NA,NA,NA
2017-03-01,Nechako & North Coast,BULKLEY-NECHAKO,TOWN OF SMITHERS,11,8,0,0,0,0,8,0,0,0,2,2,0,0,0,0,1,2939700,267245.4545,255000,39424,3100,NA,NA,NA,NA,NA
2017-03-01,Nechako & North Coast,BULKLEY-NECHAKO,VANDERHOOF RURAL,17,15,10,0,1,0,4,0,0,0,0,0,0,0,2,0,0,2413769.52,141986.4424,105000,29827.7,1050,NA,NA,NA,NA,NA
2017-03-01,Nechako & North Coast,BULKLEY-NECHAKO,VILLAGE OF BURNS LAKE,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,657000,164250,178500,NA,NA,0,NA,NA,NA,NA
2017-03-01,Nechako & North Coast,BULKLEY-NECHAKO,VILLAGE OF FRASER LAKE,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24000,24000,24000,NA,NA,0,NA,NA,NA,NA
2017-03-01,Nechako & North Coast,BULKLEY-NECHAKO,VILLAGE OF GRANISLE,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9250,9250,9250,NA,NA,0,NA,NA,NA,NA
2017-03-01,Nechako & North Coast,BULKLEY-NECHAKO,VILLAGE OF TELKWA,8,6,0,1,0,0,5,0,0,0,2,2,0,0,0,0,0,1489500,186187.5,247500,18380.8,2950,0,NA,NA,NA,NA
2017-03-01,Nechako & North Coast,KITIMAT-STIKINE,CITY OF TERRACE,15,15,1,0,0,0,13,1,0,0,0,0,0,0,0,0,0,5169850,344656.6667,350000,76553.5,5000,0,NA,NA,NA,NA
2017-03-01,Nechako & North Coast,KITIMAT-STIKINE,DISTRICT OF KITIMAT,12,10,0,0,0,0,8,2,0,0,0,0,0,0,0,0,2,1913070,159422.5,150000,NA,NA,NA,NA,NA,NA,NA
2017-03-01,Nechako & North Coast,KITIMAT-STIKINE,DISTRICT OF NEW HAZELTON,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11900,11900,11900,NA,NA,0,NA,NA,NA,NA
2017-03-01,Nechako & North Coast,KITIMAT-STIKINE,DISTRICT OF STEWART,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5500,5500,5500,NA,NA,0,NA,NA,NA,NA
2017-03-01,Nechako & North Coast,KITIMAT-STIKINE,TERRACE RURAL,14,13,9,1,2,0,1,0,0,0,1,1,0,0,0,0,0,3092500,220892.8571,118500,45763,1185,0,NA,NA,NA,NA
2017-03-01,Nechako & North Coast,KITIMAT-STIKINE,VILLAGE OF HAZELTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA
2017-03-01,Nechako & North Coast,NORTH COAST,CITY OF PRINCE RUPERT,35,34,0,0,0,0,34,0,0,0,1,1,0,0,0,0,0,7652950,218655.7143,213181,98086.31,2263.62,0,NA,NA,NA,NA
2017-03-01,Nechako & North Coast,NORTH COAST,DISTRICT OF PORT EDWARD,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,380000,380000,380000,NA,NA,0,NA,NA,NA,NA
2017-03-01,Nechako & North Coast,NORTH COAST,PRINCE RUPERT RURAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA
2017-03-01,Nechako & North Coast,NORTH COAST,QUEEN CHARLOTTE RURAL,5,5,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,716761,143352.2,170000,NA,NA,0,NA,NA,NA,NA
2017-03-01,Nechako & North Coast,NORTH COAST,VILLAGE OF MASSET,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,573000,114600,138000,NA,NA,NA,NA,NA,NA,NA
2017-03-01,Nechako & North Coast,NORTH COAST,VILLAGE OF PORT CLEMENTS,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,17800,8900,8900,NA,NA,0,NA,NA,NA,NA
2017-03-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,CITY OF DAWSON CREEK,22,21,0,0,0,0,19,1,0,1,1,1,0,0,0,0,0,5706500,259386.3636,236000,74280,2720,0,NA,NA,NA,NA
2017-03-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,CITY OF FORT ST. JOHN,37,36,0,0,0,1,31,1,0,3,1,0,0,1,0,0,0,13123577.35,354691.2797,357008.09,148676.69,4084,NA,NA,NA,NA,NA
2017-03-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,DAWSON CREEK RURAL,24,14,10,0,1,0,3,0,0,0,0,0,0,0,0,8,2,5035625,209817.7083,109350,73546.25,1093.5,NA,NA,NA,NA,NA
2017-03-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,DISTRICT OF CHETWYND,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,526500,175500,170000,NA,NA,0,NA,NA,NA,NA
2017-03-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,DISTRICT OF HUDSON'S HOPE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575000,575000,575000,NA,NA,0,NA,NA,NA,NA
2017-03-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,DISTRICT OF NORTHERN ROCKIES REGIONAL MUNICIPALITY,6,5,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,902800,150466.6667,116400,10578,1164,0,NA,NA,NA,NA
2017-03-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,DISTRICT OF TAYLOR,4,4,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,792333.33,198083.3325,198666.665,NA,NA,0,NA,NA,NA,NA
2017-03-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,DISTRICT OF TUMBLER RIDGE,11,11,0,0,0,0,9,1,1,0,0,0,0,0,0,0,0,1059000,96272.72727,84000,10590,840,0,NA,NA,NA,NA
2017-03-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,FORT ST. JOHN RURAL,21,15,10,0,4,0,1,0,0,0,1,1,0,0,1,4,0,8004200,381152.381,262500,126549.56,3250,0,NA,NA,NA,NA
2017-03-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,VILLAGE OF POUCE COUPE,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1100794.42,275198.605,282914.73,NA,NA,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,CENTRAL OKANAGAN,CENTRAL OKANAGAN RURAL,30,29,4,0,0,0,25,0,0,0,0,0,0,0,1,0,0,6812557,227085.2333,152500,88133.5,1175,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,CENTRAL OKANAGAN,CITY OF KELOWNA,357,335,3,6,3,4,157,123,5,34,19,8,9,2,0,1,2,194839247.7,545768.2007,420000,3280340.85,6120,NA,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,CENTRAL OKANAGAN,DISTRICT OF LAKE COUNTRY,50,48,6,0,2,0,29,6,0,5,0,0,0,0,1,0,1,30499119.33,609982.3866,505125,445644,7100,NA,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,CENTRAL OKANAGAN,DISTRICT OF PEACHLAND,14,14,1,0,0,0,9,4,0,0,0,0,0,0,0,0,0,8416083.33,601148.8093,473450,NA,NA,NA,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,CENTRAL OKANAGAN,DISTRICT OF WEST KELOWNA,103,102,2,1,0,1,69,26,0,3,1,0,0,1,0,0,0,52369517.42,508441.9167,475000,797612.27,7050,NA,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,CENTRAL OKANAGAN,WESTBANK FIRST NATION,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,776000,388000,388000,NA,NA,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,COLUMBIA SHUSWAP,CITY OF REVELSTOKE,22,21,1,2,0,0,15,1,0,2,1,0,0,1,0,0,0,5893676.29,267894.3768,156500,84807.76,1565,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,COLUMBIA SHUSWAP,DISTRICT OF SALMON ARM,48,45,1,0,0,1,33,5,0,5,2,2,0,0,0,1,0,16260717.14,338764.9404,348750,199788.99,3990,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,COLUMBIA SHUSWAP,DISTRICT OF SICAMOUS,9,8,0,1,0,0,2,5,0,0,1,1,0,0,0,0,0,1808400,200933.3333,223500,NA,NA,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,COLUMBIA SHUSWAP,GOLDEN RURAL,14,10,8,0,0,0,2,0,0,0,0,0,0,0,2,2,0,5426090.48,387577.8914,277500,83004.91,3550,NA,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,COLUMBIA SHUSWAP,REVELSTOKE RURAL,2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1969631.34,984815.67,984815.67,NA,NA,NA,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,COLUMBIA SHUSWAP,SALMON ARM RURAL,72,62,23,1,1,0,37,0,0,0,3,1,0,2,6,1,0,23840962.75,331124.4826,250500,355227.21,2480,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,COLUMBIA SHUSWAP,TOWN OF GOLDEN,9,9,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,2394100,266011.1111,214000,NA,NA,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,NORTH OKANAGAN,CITY OF ARMSTRONG,14,12,0,0,0,0,10,2,0,0,2,1,1,0,0,0,0,4672300,333735.7143,330250,60072,3875,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,NORTH OKANAGAN,CITY OF ENDERBY,9,8,0,1,0,0,5,2,0,0,0,0,0,0,0,0,1,2038000,226444.4444,210000,NA,NA,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,NORTH OKANAGAN,CITY OF VERNON,121,115,2,1,1,2,75,31,0,3,6,4,0,2,0,0,0,43555052.04,359959.1078,327500,593150.54,3460,NA,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,NORTH OKANAGAN,DISTRICT OF COLDSTREAM,21,21,2,0,3,0,14,2,0,0,0,0,0,0,0,0,0,10893795.5,518752.1667,499000,176475.91,7980,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,NORTH OKANAGAN,DISTRICT OF SPALLUMCHEEN,14,12,2,0,6,0,4,0,0,0,0,0,0,0,0,2,0,7685350,548953.5714,439250,126707,6785,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,NORTH OKANAGAN,VERNON RURAL,32,27,7,0,3,0,10,7,0,0,0,0,0,0,1,4,0,11880166.67,371255.2084,303000,179297.49,4060,NA,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,NORTH OKANAGAN,VILLAGE OF LUMBY,4,4,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,808900,202225,244450,NA,NA,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,CITY OF PENTICTON,100,89,2,0,1,1,44,35,0,6,8,8,0,0,0,0,3,40991138.71,409911.3871,340000,581895.32,4345.93,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,DISTRICT OF SUMMERLAND,31,31,1,0,1,0,21,8,0,0,0,0,0,0,0,0,0,11980957.14,386482.4884,362398.92,165472,5000,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,OLIVER RURAL,27,18,7,0,2,0,9,0,0,0,2,0,0,2,0,7,0,18300010,677778.1481,590000,311884.1,9800,NA,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,PENTICTON RURAL,42,34,13,0,1,0,15,3,2,0,0,0,0,0,2,6,0,20098192.67,478528.3969,314500,346150.93,4290,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,PRINCETON RURAL,16,15,7,0,1,0,7,0,0,0,1,0,0,1,0,0,0,5173346.67,323334.1669,292750,76413.27,3855,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,TOWN OF OLIVER,23,22,0,0,0,0,15,6,0,1,1,1,0,0,0,0,0,7451053.75,323958.8587,348000,106529.58,4960,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,TOWN OF OSOYOOS,32,32,0,0,0,1,9,22,0,0,0,0,0,0,0,0,0,8158400,254950,197250,108063,1972.5,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,TOWN OF PRINCETON,11,11,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,1433285,130298.6364,121250,15367.85,1212.5,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,VILLAGE OF KEREMEOS,6,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1542769.09,257128.1817,265000,13690,2125,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,THOMPSON-NICOLA,ASHCROFT RURAL,6,6,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1192710,198785,185000,15567.1,1850,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,THOMPSON-NICOLA,CITY OF KAMLOOPS,193,186,2,1,1,5,125,41,0,11,6,2,4,0,0,0,1,78550476.22,406997.2861,329900,1175628.49,4188,NA,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,THOMPSON-NICOLA,CITY OF MERRITT,13,11,0,0,0,0,8,3,0,0,2,2,0,0,0,0,0,2841500,218576.9231,160000,31300,1500,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,THOMPSON-NICOLA,DISTRICT OF BARRIERE,5,3,1,0,0,0,2,0,0,0,2,2,0,0,0,0,0,1139000,227800,200000,14005,2000,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,THOMPSON-NICOLA,DISTRICT OF CLEARWATER,3,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,643600,214533.3333,265000,NA,NA,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,THOMPSON-NICOLA,DISTRICT OF LOGAN LAKE,7,6,0,1,0,0,4,1,0,0,1,1,0,0,0,0,0,1007700,143957.1429,135000,6690,720,NA,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,THOMPSON-NICOLA,KAMLOOPS RURAL,64,34,9,1,4,0,16,4,0,0,1,1,0,0,3,18,8,19869537.9,310461.5297,228500,331658.19,2270,NA,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,THOMPSON-NICOLA,MERRITT RURAL,4,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2042000,510500,510500,NA,NA,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,THOMPSON-NICOLA,VILLAGE OF ASHCROFT,3,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,176600,58866.66667,41600,NA,NA,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,THOMPSON-NICOLA,VILLAGE OF CACHE CREEK,3,1,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,880000,293333.3333,330000,NA,NA,NA,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,THOMPSON-NICOLA,VILLAGE OF CHASE,9,8,0,2,0,0,4,1,0,1,0,0,0,0,1,0,0,2190500,243388.8889,279000,29180,3580,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,THOMPSON-NICOLA,VILLAGE OF CLINTON,3,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,944000,314666.6667,180000,NA,NA,0,NA,NA,NA,NA
2017-03-01,Thompson/Okanagan,THOMPSON-NICOLA,VILLAGE OF LYTTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA
2017-03-01,Unknown,UNKNOWN,UNKNOWN,45,40,0,0,0,0,2,6,10,22,1,0,0,1,1,2,1,21183883.33,470752.9629,291500,353954.33,3830,NA,NA,NA,NA,NA
2017-03-01,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,ALBERNI RURAL,105,85,12,0,0,0,66,5,2,0,0,0,0,0,19,0,1,35318277.94,336364.5518,258000,533652.78,2998,NA,NA,NA,NA,NA
2017-03-01,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,CITY OF PORT ALBERNI,58,54,0,2,0,0,50,2,0,0,4,3,0,1,0,0,0,12111000.67,208810.3564,205000,141629.01,2000,0,NA,NA,NA,NA
2017-03-01,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,DISTRICT OF TOFINO,9,6,0,0,0,0,4,2,0,0,2,1,1,0,1,0,0,4738833.33,526537.0367,417500,77513.33,6350,NA,NA,NA,NA,NA
2017-03-01,Vancouver Island/Coast,ALBERNI-CLAYOQUOT,DISTRICT OF UCLUELET,12,11,0,0,0,0,6,2,3,0,1,1,0,0,0,0,0,2833500,236125,181000,37560,1870,0,NA,NA,NA,NA
2017-03-01,Vancouver Island/Coast,CAPITAL,CITY OF COLWOOD,35,34,0,0,0,0,24,9,0,1,1,0,1,0,0,0,0,17545352.09,501295.774,549900,249580.52,6800,NA,NA,NA,NA,NA
2017-03-01,Vancouver Island/Coast,CAPITAL,CITY OF VICTORIA,297,285,0,1,0,7,54,122,0,101,12,9,0,3,0,0,0,190066395.5,639954.1936,430400,3226290.16,6100,17,10016500,589205.8824,456000,NA
2017-03-01,Vancouver Island/Coast,CAPITAL,DISTRICT OF CENTRAL SAANICH,23,21,4,0,0,0,9,8,0,0,2,0,2,0,0,0,0,19794488.1,860629.9174,665000,359302.14,10700,0,NA,NA,NA,NA
2017-03-01,Vancouver Island/Coast,CAPITAL,DISTRICT OF ESQUIMALT,21,21,0,1,0,0,10,10,0,0,0,0,0,0,0,0,0,11328700,539461.9048,455000,171674,6998,0,NA,NA,NA,NA
2017-03-01,Vancouver Island/Coast,CAPITAL,DISTRICT OF HIGHLANDS,9,9,3,0,0,0,5,0,0,1,0,0,0,0,0,0,0,5136114.29,570679.3656,734000,67805.92,7000,0,NA,NA,NA,NA
2017-03-01,Vancouver Island/Coast,CAPITAL,DISTRICT OF LANGFORD,173,169,14,1,0,1,83,42,2,26,3,1,2,0,1,0,0,89064152.22,514821.6891,438679.25,1314064.26,5300,NA,NA,NA,NA,NA
2017-03-01,Vancouver Island/Coast,CAPITAL,DISTRICT OF METCHOSIN,5,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4025700,805140,639900,70514,10798,0,NA,NA,NA,NA
2017-03-01,Vancouver Island/Coast,CAPITAL,DISTRICT OF NORTH SAANICH,18,18,1,0,1,0,16,0,0,0,0,0,0,0,0,0,0,15774900,876383.3333,750000,279498,13000,0,NA,NA,NA,NA
2017-03-01,Vancouver Island/Coast,CAPITAL,DISTRICT OF OAK BAY,34,34,0,0,0,1,23,10,0,0,0,0,0,0,0,0,0,35179170,1034681.471,964850,667623.8,17297,NA,NA,NA,NA,NA
2017-03-01,Vancouver Island/Coast,CAPITAL,DISTRICT OF SAANICH,167,165,8,0,3,1,82,65,0,6,2,1,1,0,0,0,0,103624477,620505.8504,570000,1762797.27,9400,14,11939030.26,852787.8757,816180.605,NA
2017-03-01,Vancouver Island/Coast,CAPITAL,DISTRICT OF SOOKE,63,63,3,1,0,0,47,7,0,5,0,0,0,0,0,0,0,25584764.44,406107.3721,417500,337419.56,6050,NA,NA,NA,NA,NA
2017-03-01,Vancouver Island/Coast,CAPITAL,GULF ISLANDS RURAL,59,53,17,1,0,0,31,2,2,0,3,0,3,0,2,0,1,21738164.29,368443.4625,320000,328933.14,4400,NA,NA,NA,NA,NA
2017-03-01,Vancouver Island/Coast,CAPITAL,TOWN OF SIDNEY,27,27,0,2,0,0,15,8,1,1,0,0,0,0,0,0,0,16631760.29,615991.1219,485000,271710.22,7200,0,NA,NA,NA,NA
2017-03-01,Vancouver Island/Coast,CAPITAL,TOWN OF VIEW ROYAL,20,20,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,9435107,471755.35,370000,149734.64,5400,NA,NA,NA,NA,NA
2017-03-01,Vancouver Island/Coast,CAPITAL,VICTORIA RURAL,13,12,7,0,0,0,5,0,0,0,0,0,0,0,1,0,0,5618476.2,432190.4769,460000,86589.52,7200,0,NA,NA,NA,NA
2017-03-01,Vancouver Island/Coast,CENTRAL COAST-MOUNT WADDINGTON,BELLA COOLA RURAL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70000,70000,70000,NA,NA,0,NA,NA,NA,NA
2017-03-01,Vancouver Island/Coast,CENTRAL COAST-MOUNT WADDINGTON,DISTRICT OF PORT HARDY,10,7,0,0,0,0,5,2,0,0,3,2,0,1,0,0,0,2369000,236900,181250,33690,1812.5,NA,NA,NA,NA,NA
2017-03-01,Vancouver Island/Coast,CENTRAL COAST-MOUNT WADDINGTON,PORT HARDY RURAL,7,5,2,0,0,0,3,0,0,0,2,0,0,2,0,0,0,2056400,293771.4286,235000,30168,2700,0,NA,NA,NA,NA
2017-03-01,Vancouver Island/Coast,CENTRAL COAST-MOUNT WADDINGTON,TOWN OF PORT MCNEILL,6,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1260500,210083.3333,109000,17980,1090,0,NA,NA,NA,NA
2017-03-01,Vancouver Island/Coast,CENTRAL COAST-MOUNT WADDINGTON,VILLAGE OF ALERT BAY,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,NA,NA,0,NA,NA,NA,NA
2017-03-01,Vancouver Island/Coast,CENTRAL COAST-MOUNT WADDINGTON,VILLAGE OF PORT ALICE,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,72500,24166.66667,21000,NA,NA,NA,NA,NA,NA,NA
2017-03-01,Vancouver Island/Coast,COMOX VALLEY,CITY OF COURTENAY,89,85,1,0,0,1,47,29,2,5,4,3,1,0,0,0,0,28461302.22,319789.9126,282500,403057.19,3598,NA,NA,NA,NA,NA
2017-03-01,Vancouver Island/Coast,COMOX VALLEY,COURTENAY RURAL,46,45,15,0,0,1,24,4,0,1,1,0,0,1,0,0,0,21168510,460185,375000,336990.1,5500,0,NA,NA,NA,NA
2017-03-01,Vancouver Island/Coast,COMOX VALLEY,TOWN OF COMOX,23,21,0,0,0,0,14,7,0,0,2,1,1,0,0,0,0,8277513,359891.8696,325000,101015.26,4100,0,NA,NA,NA,NA
